RabA,RabB,RabC,RabD,RabE,
1836732.14512,1969778.594,1969778.594,1969778.594,1898307.36113,
1825736.57083,1969778.594,1969778.594,1969778.594,1919198.95228,
1857623.73627,1969778.594,1969778.594,1969778.594,1915900.27999,
1884013.11456,1969778.594,1969778.594,1969778.594,1881813.9997,
1855424.62141,1969778.594,1969778.594,1969778.594,1899406.91856,
1881813.9997,1969778.594,1969778.594,1969778.594,1889510.9017,
1868619.31055,1969778.594,1969778.594,1969778.594,1848827.27684,
1898307.36113,1969778.594,1969778.594,1969778.594,1856524.17884,
1919198.95228,1969778.594,1969778.594,1969778.594,1852125.94912,
1900506.47599,1969778.594,1969778.594,1969778.594,1890610.45913,
1921398.06713,1969778.594,1969778.594,1969778.594,1803745.42226,
1918099.39485,1969778.594,1969778.594,1969778.594,1798247.63511,
1914800.72256,1969778.594,1969778.594,1969778.594,1869718.86798,
1896108.24627,1969778.594,1969778.594,1969778.594,1884013.11456,
1901606.03342,1969778.594,1969778.594,1969778.594,1916999.83742,
1848827.27684,1969778.594,1969778.594,1969778.594,1898307.36113,
1918099.39485,1969778.594,1969778.594,1969778.594,1888411.34427,
1899406.91856,1969778.594,1969778.594,1969778.594,1859822.85112,
1904904.7057,1969778.594,1969778.594,1969778.594,1901606.03342,
1898307.36113,1969778.594,1969778.594,1969778.594,1833433.47283,
1888411.34427,1969778.594,1969778.594,1969778.594,1868619.31055,
1906004.26313,1969778.594,1969778.594,1969778.594,1898307.36113,
1868619.31055,1969778.594,1969778.594,1969778.594,1857623.73627,
1898307.36113,1969778.594,1969778.594,1969778.594,1884013.11456,
1857623.73627,1969778.594,1969778.594,1969778.594,1886212.22941,
1914800.72256,1969778.594,1969778.594,1969778.594,1919198.95228,
1926895.85428,1969778.594,1969778.594,1969778.594,1900506.47599,
1896108.24627,1969778.594,1969778.594,1969778.594,1813641.43912,
1901606.03342,1969778.594,1969778.594,1969778.594,1903805.14827,
1864221.08084,1969778.594,1969778.594,1969778.594,1927995.41171,
1921398.06713,1969778.594,1969778.594,1969778.594,1835632.58769,
1918099.39485,1969778.594,1969778.594,1969778.594,1870818.42541,
1868619.31055,1969778.594,1969778.594,1969778.594,1869718.86798,
1882913.55713,1969778.594,1969778.594,1969778.594,1868619.31055,
1900506.47599,1969778.594,1969778.594,1969778.594,1836732.14512,
1890610.45913,1969778.594,1969778.594,1969778.594,1825736.57083,
1896108.24627,1969778.594,1969778.594,1969778.594,1873017.54027,
1901606.03342,1969778.594,1969778.594,1969778.594,1902705.59085,
1848827.27684,1969778.594,1969778.594,1969778.594,1880714.44227,
1902705.59085,1969778.594,1969778.594,1969778.594,1836732.14512,
1880714.44227,1969778.594,1969778.594,1969778.594,1887311.78684,
1898307.36113,1969778.594,1969778.594,1969778.594,1904904.7057,
1888411.34427,1969778.594,1969778.594,1969778.594,1805944.53712,
1844429.04712,1969778.594,1969778.594,1969778.594,1880714.44227,
1898307.36113,1969778.594,1969778.594,1969778.594,1882913.55713,
1857623.73627,1969778.594,1969778.594,1969778.594,1900506.47599,
1899406.91856,1969778.594,1969778.594,1969778.594,1859822.85112,
1827935.68569,1969778.594,1969778.594,1969778.594,1824637.0134,
1906004.26313,1969778.594,1969778.594,1969778.594,1902705.59085,
1884013.11456,1969778.594,1969778.594,1969778.594,1896108.24627,
1916999.83742,1969778.594,1969778.594,1969778.594,1840030.81741,
1867519.75313,1969778.594,1969778.594,1969778.594,1844429.04712,
1804844.97969,1969778.594,1969778.594,1969778.594,1913701.16513,
1771858.25682,1969778.594,1969778.594,1969778.594,1864221.08084,
1852125.94912,1969778.594,1969778.594,1969778.594,1890610.45913,
